date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:49	36/36	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2007%20Mar%202025%2014:37:49%20GMT	https://preclinic.dreamstechnologies.com/robots.txt		(from )
20:07:50	32788/32788	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Dec%202024%2011:21:30%20GMT	https://preclinic.dreamstechnologies.com/	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/index.html	(from )
20:07:50	2083/2083	---M--	200	added ('OK')	image/png	etag:%22823-60a6ef804ac00%22	https://preclinic.dreamstechnologies.com/assets/img/favicon.png	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/img/favicon.png	(from https://preclinic.dreamstechnologies.com/)
20:07:50	140942/140942	---M-Z	200	added ('OK')	text/css	etag:%222268e-60a6ef804ac00-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/bootstrap.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/bootstrap.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:50	28115/28115	---M-Z	200	added ('OK')	text/css	etag:%226dd3-60a6ef804ac00-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/line-awesome.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/line-awesome.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:51	26053/26053	---M-Z	200	added ('OK')	text/css	etag:%2265c5-60a6ef804ac00-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/aos.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/aos.css	(from https://preclinic.dreamstechnologies.com/)
20:07:51	80761/80761	---M-Z	200	added ('OK')	text/css	etag:%2213b79-628fbf430b8c0-gzip%22	https://preclinic.dreamstechnologies.com/assets/plugins/fontawesome/css/fontawesome.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:51	101894/101894	---M-Z	200	added ('OK')	text/css	etag:%2218e06-628fbf430b8c0-gzip%22	https://preclinic.dreamstechnologies.com/assets/plugins/fontawesome/css/all.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/plugins/fontawesome/css/all.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:51	286439/286439	---M-Z	200	added ('OK')	text/css	etag:%2245ee7-628fbf430b8c0-gzip%22	https://preclinic.dreamstechnologies.com/assets/plugins/tabler-icons/tabler-icons.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/plugins/tabler-icons/tabler-icons.css	(from https://preclinic.dreamstechnologies.com/)
20:07:52	2941/2941	---M-Z	200	added ('OK')	text/css	etag:%22b7d-60a6ef804ac00-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/owl.carousel.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/owl.carousel.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:52	941/941	---M-Z	200	added ('OK')	text/css	etag:%223ad-60a6ef804ac00-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/owl.theme.default.min.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/owl.theme.default.min.css	(from https://preclinic.dreamstechnologies.com/)
20:07:52	24642/24642	---M-Z	200	added ('OK')	text/css	etag:%226042-628fbf430b8c0-gzip%22	https://preclinic.dreamstechnologies.com/assets/css/style.css	D:/axay/pre%20clinic/pre%20clinic/preclinic.dreamstechnologies.com/assets/css/style.css	(from https://preclinic.dreamstechnologies.com/)
